src/data/analysis/topology.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/array/lemmas.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/bitvec/basic.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/buffer/basic.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/data/char.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/complex/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/dlist/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/dlist/instances.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/data/equiv/denumerable.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/data/equiv/encodable/basic.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/data/equiv/list.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/equiv/nat.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/data/erased.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/fin2.lean : line 7 : ERR_MOD : Module docstring missing, or too late
src/data/fintype/basic.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/data/fintype/sort.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/fp/basic.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/hash_map.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/data/int/basic.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/int/cast.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/int/modeq.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/int/parity.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/int/range.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/int/sqrt.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/bag_inter.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/chain.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/list/erase_dup.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/forall2.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/func.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/indexes.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/list/intervals.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/list/nat_antidiagonal.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/of_fn.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/list/pairwise.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/palindrome.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/range.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/list/rotate.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/sections.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/sigma.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/data/list/sort.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/list/tfae.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/list/zip.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/matrix/pequiv.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/mllist.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/data/multiset/range.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/nat/associated.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/nat/cast.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/nat/dist.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/nat/modeq.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/nat/pairing.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/nat/parity.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/nat/totient.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/nat/unique_factorization.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/num/basic.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/data/num/bitwise.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/option/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/option/defs.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/pequiv.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/pfun.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/pnat/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/pnat/factors.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/pnat/intervals.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/pnat/xgcd.lean : line 24 : ERR_MOD : Module docstring missing, or too late
src/data/polynomial/field_division.lean : line 0 : ERR_COP : Malformed or missing copyright header
src/data/polynomial/integral_normalization.lean : line 0 : ERR_COP : Malformed or missing copyright header
src/data/qpf/multivariate/basic.lean : line 7 : ERR_MOD : Module docstring missing, or too late
src/data/qpf/multivariate/constructions/fix.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/rat/denumerable.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/real/basic.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/data/real/cau_seq_completion.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/real/ennreal.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/real/nnreal.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/data/real/pi.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/rel.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/semiquot.lean : line 15 : ERR_MOD : Module docstring missing, or too late
src/data/seq/computation.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/seq/parallel.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/data/seq/seq.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/seq/wseq.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/set/disjointed.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/set/enumerate.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/data/set/function.lean : line 1 : ERR_COP : Malformed or missing copyright header
src/data/set/function.lean : line 1 : ERR_MOD : Module docstring missing, or too late
src/data/set/lattice.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/data/sigma/basic.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/string/basic.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/data/string/defs.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/data/subtype.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/sym2.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/ulift.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/data/vector2.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/data/zsqrtd/basic.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/deprecated/subfield.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/deprecated/subgroup.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/deprecated/subring.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/field_theory/mv_polynomial.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/field_theory/splitting_field.lean : line 15 : ERR_MOD : Module docstring missing, or too late
src/geometry/euclidean/basic.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/geometry/euclidean/circumcenter.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/geometry/euclidean/monge_point.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/geometry/euclidean/triangle.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/geometry/manifold/algebra/monoid.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/geometry/manifold/algebra/structures.lean : line 7 : ERR_MOD : Module docstring missing, or too late
src/group_theory/abelianization.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/group_theory/coset.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/group_theory/free_abelian_group.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/group_theory/free_group.lean : line 18 : ERR_MOD : Module docstring missing, or too late
src/group_theory/group_action.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/group_theory/order_of_element.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/group_theory/perm/cycles.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/group_theory/perm/sign.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/group_theory/presented_group.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/group_theory/quotient_group.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/group_theory/sylow.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/linear_algebra/affine_space/basic.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/linear_algebra/affine_space/combination.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/linear_algebra/affine_space/finite_dimensional.lean : line 9 : ERR_MOD : Module docstring missing, or too late
